linhas arquivo                  trad     1a-rev  2a-rev
------+------------------------+--------+-------+-------
    38 preface.xml              OK       -       -
    85 chap-book.xml            OK       -       -
   117 bind.xml                 OK       -       -
   131 chap-x11.xml             OK       OK      -
   135 services.xml             OK       -       -
   143 slackware-basics.xml     OK       -       -
   149 inetd.xml                OK       -       -
   156 apache.xml               OK     PARCIAL   -
   181 security.xml             OK       OK      -
   216 chap-help.xml            OK       -       -
   258 sendmail.xml             OK       -       -
   265 chap-intro.xml           OK       -       -
   310 printing.xml             OK       OK      -
   338 mutt.xml                 OK       -       -
   341 miscadmin.xml            OK       -       -
   377 latex.xml                OK       -       -
   398 concepts.xml             OK    PARCIAL    -
   444 chap-kernel.xml          OK       OK      -
   485 chap-usermgmt.xml        OK       OK      -
   527 netconfig.xml            OK       OK      -
   630 ipsec.xml                OK       OK      -
   652 chap-pkgmgmt.xml         OK       OK      -
   703 chap-init.xml            OK       OK      -
   758 custom-installation.xml  OK    PARCIAL    -
   780 chap-procmgmt.xml        OK       OK      -
   868 chap-install.xml         OK       OK      -
  1044 chap-shell.xml           OK       OK      -
  1924 chap-textproc.xml        OK       -       -
  3475 chap-filesystem.xml      OK       OK      -
